system,algo,graph,real,user,sys,metric_source,log
p1grapheasy_autotuner,pagerank,web-hudong,3.0,56.82,0.43,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/pagerank/web-hudong.txt
p1grapheasy_autotuner,sssp,ER-AvgDeg10-1M-L2,0.83,9.78,0.21,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/sssp/ER-AvgDeg10-1M-L2.txt
p1grapheasy_autotuner,sssp,road-belgium-osm,0.32,0.33,0.07,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/sssp/road-belgium-osm.txt
p1grapheasy_autotuner,sssp,rt-retweet-crawl,0.49,3.6,0.16,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/sssp/rt-retweet-crawl.txt
p1grapheasy_autotuner,sssp,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/sssp/web-google.txt
p1grapheasy_autotuner,sssp,web-hudong,11.8,16.46,0.46,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/sssp/web-hudong.txt
p2grapheasy_autotuner,bfs_parent,ER-AvgDeg10-1M-L2,0.24,0.34,0.16,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/bfs_parent/ER-AvgDeg10-1M-L2.txt
p2grapheasy_autotuner,bfs_parent,road-belgium-osm,0.09,0.1,0.08,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/bfs_parent/road-belgium-osm.txt
p2grapheasy_autotuner,bfs_parent,rt-retweet-crawl,0.13,0.17,0.06,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/bfs_parent/rt-retweet-crawl.txt
p2grapheasy_autotuner,bfs_parent,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/bfs_parent/web-google.txt
p2grapheasy_autotuner,bfs_parent,web-hudong,0.61,1.03,0.39,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/bfs_parent/web-hudong.txt
p2grapheasy_autotuner,cc,ER-AvgDeg10-1M-L2,0.33,0.39,0.18,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/cc/ER-AvgDeg10-1M-L2.txt
p2grapheasy_autotuner,cc,road-belgium-osm,0.78,0.79,0.06,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/cc/road-belgium-osm.txt
p2grapheasy_autotuner,cc,rt-retweet-crawl,0.13,0.19,0.06,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/cc/rt-retweet-crawl.txt
p2grapheasy_autotuner,cc,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/cc/web-google.txt
p2grapheasy_autotuner,cc,web-hudong,0.54,0.92,0.4,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/cc/web-hudong.txt
p2grapheasy_autotuner,kcore,ER-AvgDeg10-1M-L2,0.18,0.3,0.13,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/kcore/ER-AvgDeg10-1M-L2.txt
p2grapheasy_autotuner,kcore,road-belgium-osm,0.08,0.11,0.04,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/kcore/road-belgium-osm.txt
p2grapheasy_autotuner,kcore,rt-retweet-crawl,0.1,0.15,0.06,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/kcore/rt-retweet-crawl.txt
p2grapheasy_autotuner,kcore,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/kcore/web-google.txt
p2grapheasy_autotuner,kcore,web-hudong,0.47,0.87,0.4,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/kcore/web-hudong.txt
p2grapheasy_autotuner,pagerank,ER-AvgDeg10-1M-L2,0.54,0.66,0.14,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/pagerank/ER-AvgDeg10-1M-L2.txt
p2grapheasy_autotuner,pagerank,road-belgium-osm,0.18,0.2,0.05,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/pagerank/road-belgium-osm.txt
p2grapheasy_autotuner,pagerank,rt-retweet-crawl,0.31,0.35,0.08,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/pagerank/rt-retweet-crawl.txt
p2grapheasy_autotuner,pagerank,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/pagerank/web-google.txt
p2grapheasy_autotuner,pagerank,web-hudong,1.43,1.88,0.36,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/pagerank/web-hudong.txt
p2grapheasy_autotuner,sssp,ER-AvgDeg10-1M-L2,0.65,0.79,0.15,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/sssp/ER-AvgDeg10-1M-L2.txt
p2grapheasy_autotuner,sssp,road-belgium-osm,0.31,0.31,0.06,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/sssp/road-belgium-osm.txt
p2grapheasy_autotuner,sssp,rt-retweet-crawl,0.52,0.56,0.09,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/sssp/rt-retweet-crawl.txt
p2grapheasy_autotuner,sssp,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/sssp/web-google.txt
p2grapheasy_autotuner,sssp,web-hudong,12.01,12.55,0.39,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy_autotuner/sssp/web-hudong.txt
graphit,bfs_parent,ER-AvgDeg10-1M-L2,0.27,0.88,0.08,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/bfs_parent/ER-AvgDeg10-1M-L2.txt
graphit,bfs_parent,road-belgium-osm,0.09,0.25,0.05,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/bfs_parent/road-belgium-osm.txt
graphit,bfs_parent,rt-retweet-crawl,0.15,0.38,0.1,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graphit/bfs_parent/rt-retweet-crawl.txt
